Title,Price,Price/m²,Location,Area,Bedrooms,Bathrooms,Image URL,Listing URL
Special Price 3 BR Corner Bahary Lagoon View–iCity,"6,657,724
    EGP","-40,595EGP/m",Greater Cairo  /  Lagoon Beach Park - Mountain View iCity Compound,164m²,3,3,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2502/67ac71379863a380926751.PNG,https://aqarmap.com.eg/en/listing/5622518-for-sale-cairo-6th-of-october-compounds-mountain-view-icity-october-lagoon-beach-park-mountain-view-icity/
Own Apartment RESALE with installment | TAJ CITY,"8,900,000
    EGP","-51,744EGP/m",Greater Cairo  /  Taj Sultan - Taj City Compound,172m²,3,3,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d4577331b4521826230.jpeg,https://aqarmap.com.eg/en/listing/6046243-for-sale-cairo-new-cairo-compounds-tag-city-taj-sultan/
In a prime location 180 m flat for Sale in Sodic,"9,000,000
    EGP","-50,000EGP/m",Greater Cairo  /  Azailya Compound - Sodic East,180m²,3,4,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685c4ed0d06e2084728310.jpeg,https://aqarmap.com.eg/en/listing/6044228-for-sale-cairo-new-heliopolis-compounds-sodic-east-azailya/
ready to move apartment in prime location resale,"14,252,000
    EGP","-57,008EGP/m",Greater Cairo  /  Palm Hills New Cairo - PHNC ,250m²,5,6,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6851327e3ae36083395666.png,https://aqarmap.com.eg/en/listing/6017391-for-sale-cairo-new-cairo-compounds-blm-hylz-nyw-kyrw/
BOOK NOW Penthouse with roof100m | JAYED New Cairo,"8,860,000
    EGP","-50,056EGP/m",Greater Cairo  /  Jayd Compound - Secon,177m²,4,4,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d48d1501f9304563238.jpg,https://aqarmap.com.eg/en/listing/6046277-for-sale-cairo-new-cairo-compounds-jyd/
RESALE APT Finished With Jacuzzi Ready To Move,"8,815,000
    EGP","-40,068EGP/m",Greater Cairo  /  Stone Residence - PRE,220m²,3,2,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685163d510936748684130.jpg,https://aqarmap.com.eg/en/listing/6017993-for-sale-cairo-new-cairo-compounds-stwn-ryzydns-by-ar-y-llttwyr/
RESALE Apartment FINISHED READY TO MOVE | Galleria,"8,700,000
    EGP","-54,037EGP/m",Greater Cairo  /  Moon Valley Compound 1 - Arabia,161m²,3,2,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/684ecc78a0585176627445.jfif,https://aqarmap.com.eg/en/listing/6013579-for-sale-cairo-new-cairo-compounds-moon-valley/
Apartments For sale in El Baron City Compound - OUD,"4,000,000
    EGP","-22,222EGP/m",Greater Cairo  /  El Baron City Compound - OUD,180m²,3,2,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685ac922a292a707426635.jpg,https://aqarmap.com.eg/en/listing/6040006-for-sale-cairo-el-maadi-compounds-el-baron-city/
شقق للبيع,"3,300,000
    EGP","-20,625EGP/m",Greater Cairo  /  Green Yard Compound - El Nasr,160m²,3,2,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d49aca1c56093375376.jpg,https://aqarmap.com.eg/en/listing/6046317-for-sale-cairo-6th-of-october-compounds-green-yard/
"Apartment for sale in a very distinguished location in October, Italian District, 85 square meters","1,550,000
    EGP","-18,235EGP/m",Greater Cairo  /  Italian Square - Mousa Coast,85m²,2,1,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d3aa53534d340528310.jpg,https://aqarmap.com.eg/en/listing/6046066-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-italian-square/
Apartments For sale in  AlMaqsad Park - AlMaqsad Residence,"4,800,000
    EGP","-39,669EGP/m",Greater Cairo  /   AlMaqsad Park - AlMaqsad Residence,121m²,3,2,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d2a989ffd6911180000.jpg,https://aqarmap.com.eg/en/listing/6045784-for-sale-cairo-new-administrative-capital-r3-lmqsd-almaqsad-park/
,"9,900,000
    EGP","-180,000EGP/m",Greater Cairo  /  Bait El Masria Compound,55m²,N/A,N/A,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685c4cf6e8ccb315689235.jpg,https://aqarmap.com.eg/en/listing/6037685-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-baet-el-masria/
Town House For sale in Green Square Compound - Al Ahly Sabbour,"11,850,000
    EGP","-47,400EGP/m",Greater Cairo  /  Green Square Compound - Al Ahly Sabbour,250m²,3,3,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6861246a73f0d992746528.jpg,https://aqarmap.com.eg/en/listing/6056414-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-green-square/
شقة للبيع 150 م بفيو بانوراما عل حمام السباحة بكموند  الديار ريزيدنس اخر ش الجامعة الامريكية,"5,700,000
    EGP","-38,000EGP/m",Greater Cairo  /  El Deyar Compound - Mokhabarat,150m²,3,2,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685c552796891150853868.jpeg,https://aqarmap.com.eg/en/listing/6044268-for-sale-cairo-new-cairo-compounds-el-deyar-mokhabarat/
تجاري للبيع في ريجنسي مول,"4,880,000
    EGP","-80,000EGP/m",Greater Cairo  /  Regency Mall,61m²,N/A,N/A,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d6561a915e276312898.jpeg,https://aqarmap.com.eg/en/listing/6046694-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-regency-mall/
"Smart townhouse corner sea view, fully finished, with a down payment of 1,250,000 EGP, on 90th Street - 5th settlement","25,000,000
    EGP","-119,047EGP/m",Greater Cairo  /  Zomra East Compound - Nations Of Sky,210m²,3,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685815b0ae923334913029.PNG,https://aqarmap.com.eg/en/listing/6034113-for-sale-cairo-new-cairo-compounds-zomra-east-compound-nations-of-sky/
توين هاوس للبيع في كمبوند كنز - مدار,"29,500,000
    EGP","-122,916EGP/m",Greater Cairo  /  Kinz Compound - Madaar,240m²,5,5,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685c1c79e8caa496573420.jpeg,https://aqarmap.com.eg/en/listing/6043734-for-sale-cairo-el-sheikh-zayed-city-lshykh-zyd-ljdyd-kinz-compound-madaar/
Garden apartment in Sheikh Zayed - Calm Residence,"5,005,000
    EGP","-55,000EGP/m",Greater Cairo  /  Calm Residence - DCM,91m²,1,1,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685bf25c62b4f536567815.jpg,https://aqarmap.com.eg/en/listing/6042619-for-sale-cairo-el-sheikh-zayed-city-compounds-calm-residence-dcm/
DELIVERY NOW APT RESALE with GARDEN in MV ICity,"7,000,000
    EGP","-40,000EGP/m",Greater Cairo  /  Mountain Park - Mountain View iCity Compound,175m²,3,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/684d567005bc3455112771.jpg,https://aqarmap.com.eg/en/listing/6008395-for-sale-cairo-new-cairo-compounds-mwntn-fyw-y-syty-mountain-park-mountain-view-icity/
,"3,000,000
    EGP","-6,000EGP/m",Greater Cairo  /  Expansion Of El Sheikh Zayed City,500m²,N/A,N/A,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67dff1e3e1a55491172358.png,https://aqarmap.com.eg/en/listing/5751295-for-sale-cairo-el-sheikh-zayed-city-lshykh-zyd-ljdyd/
Apartments For sale in Jade Park Compound - City Edge,"4,600,000
    EGP","-65,714EGP/m",Greater Cairo  /  Jade Park Compound - City Edge,70m²,1,1,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d2102b429c194535863.jpeg,https://aqarmap.com.eg/en/listing/6045614-for-sale-cairo-new-administrative-capital-r3-jade-park-compound-city-edge/
"Fully finished apartment with landscape view in Park Central Compound - New Cairo, with 10-year installments","12,800,000
    EGP","-105,785EGP/m",Greater Cairo  /  Park Central Compound - Hassan Allam ,121m²,2,2,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685c12f848690504454844.PNG,https://aqarmap.com.eg/en/listing/6043479-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-park-central-compound-hassan-allam/
Apartment with Private Garden near Elite West   – 91m² in Sheikh Zayed,"5,005,000
    EGP","-55,000EGP/m",Greater Cairo  /  Calm Residence - DCM,91m²,1,1,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685c02a1bdda3803964682.jpg,https://aqarmap.com.eg/en/listing/6043066-for-sale-cairo-el-sheikh-zayed-city-compounds-calm-residence-dcm/
شقق للبيع في المنطقة السياحية السادسة,"8,000,000
    EGP","-24,615EGP/m",Greater Cairo  /  6th Tourist Area	,325m²,3,3,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d208fc5760387096745.jpeg,https://aqarmap.com.eg/en/listing/6045644-for-sale-cairo-6th-of-october-6th-tourist-area/
Apartments For sale in Jade Park Compound - City Edge,"2,700,000
    EGP","-38,571EGP/m",Greater Cairo  /  Jade Park Compound - City Edge,70m²,1,1,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d28367720f010224169.jpeg,https://aqarmap.com.eg/en/listing/6045764-for-sale-cairo-new-administrative-capital-r3-jade-park-compound-city-edge/
أرض تجارية للبيع في الثورة الخضراء,"45,000,000
    EGP","-15,000EGP/m",Greater Cairo  /  Green Revolution,3000m²,N/A,N/A,N/A,https://aqarmap.com.eg/en/listing/6039074-for-sale-cairo-el-sheikh-zayed-city-green-revolution/
Apartments For sale in Golden Square,"2,706,000
    EGP","-22,000EGP/m",Greater Cairo  /  Address Home Compound - Arkan,123m²,3,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2504/67f283cf2147d092145324.jpg,https://aqarmap.com.eg/en/listing/5782696-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-address-home-compound-arkan/
Apartment For Sale with Prime location in Zahraa Maadi ME-HA 150,"3,500,000
    EGP","-17,766EGP/m",Greater Cairo  /  Degla,197m²,3,3,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6847fff9b9f48796127409.jpg,https://aqarmap.com.eg/en/listing/5998889-for-sale-cairo-el-maadi-degla/
Luxury Hotel Apartment – 62 sqm for Sale Top Investment Opportunity in the New Administrative Capital,"22,000,000
    EGP","-354,838EGP/m",Greater Cairo  /  Nile Business City,62m²,1,1,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2209/633021997b584451902150.jpg,https://aqarmap.com.eg/en/listing/5904356-for-sale-cairo-new-administrative-capital-ldwn-twn-nyl-byzns-syty/
شقة لقطه 180م بموقع مميز في سوديك إيست،هليوبوليس,"7,600,000
    EGP","-42,222EGP/m",Greater Cairo  /  Azailya Compound - Sodic East,180m²,3,4,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685bf0cd2ce86400479225.jpeg,https://aqarmap.com.eg/en/listing/6042608-for-sale-cairo-new-heliopolis-compounds-sodic-east-azailya/
"Villa for sale in Crescent Walk, Sixth Settlement, with an 8% down payment","60,500,000
    EGP","-150,124EGP/m",Greater Cairo  /  Crescent Walk Compound - Marakez,403m²,7,8,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685c0d36e89d8020507512.png,https://aqarmap.com.eg/en/listing/6043284-for-sale-cairo-new-cairo-compounds-crescent-walk-compound-marakez/
Offices For sale in Jazz Mall,"1,950,000
    EGP","-50,000EGP/m",Greater Cairo  /  Jazz Mall,39m²,2,1,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6842f42627bfb114139871.jpeg,https://aqarmap.com.eg/en/listing/5992474-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-jazz-mall/
Apartments For sale in Ahmed Zewail Rd,"5,740,000
    EGP","-28,700EGP/m",Greater Cairo  /  Address Home Compound - Arkan,200m²,3,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2504/68042346a68e1705366842.jpg,https://aqarmap.com.eg/en/listing/5828050-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-address-home-compound-arkan/
apartment for sale 161m ready bait al watan 5th settlement new cairo,"3,370,000
    EGP","-20,931EGP/m",Greater Cairo  /  Second Neighborhood,161m²,3,2,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685001f759898481794056.jpg,https://aqarmap.com.eg/en/listing/6015205-for-sale-cairo-new-cairo-bait-el-watan-second-neighborhood/
Apartments For sale in Elan - Sarai Compound,"3,600,000
    EGP","-44,444EGP/m",Greater Cairo  /  Elan - Sarai Compound,81m²,1,1,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6857dc8f0e163866793017.jpg,https://aqarmap.com.eg/en/listing/6033304-for-sale-cairo-new-cairo-compounds-sarai-elan-sarai-compound/
فلل للبيع في كمبوند جولز - انرشيا,"22,000,000
    EGP","-63,583EGP/m",Greater Cairo  /  Joulz Compound - Inertia,346m²,6,6,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685bd2890fb91589225332.jpeg,https://aqarmap.com.eg/en/listing/6042064-for-sale-cairo-6th-of-october-compounds-joulz-compound-inertia/
Commercial For sale in Other Neighborhoods In Hadayek October,"2,940,000
    EGP","-105,000EGP/m",Greater Cairo  /  Hadayek October ,28m²,N/A,N/A,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2504/67f29fc0eec5a224723227.png,https://aqarmap.com.eg/en/listing/5782921-for-sale-cairo-6th-of-october-hadaeq-october/
Installments Town house ² Finished with Kitchen Appliances & AC's MO-IA 160,"16,950,000
    EGP","-56,879EGP/m",Greater Cairo  /  Al Burouj Compound - Capital Group,298m²,3,4,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/684e7b2ab3edc092555324.jpg,https://aqarmap.com.eg/en/listing/6012842-for-sale-cairo-el-shorouk-compounds-alborouj/
Apartments 152 M² Extra super lux in  AlMaqsad Park - AlMaqsad Residence,"3,209,000
    EGP","-21,111EGP/m",Greater Cairo  /   AlMaqsad Park - AlMaqsad Residence,152m²,3,2,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/65faa1a52c2ce232570707.jpg,https://aqarmap.com.eg/en/listing/5900018-for-sale-cairo-new-administrative-capital-r3-lmqsd-almaqsad-park/
In very prime location flat for Sale in Eastown,"11,850,000
    EGP","-73,602EGP/m",Greater Cairo  /  Eastown Parks - Eastown Compound,161m²,3,3,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685bef954ff97108455153.jpeg,https://aqarmap.com.eg/en/listing/6042592-for-sale-cairo-new-cairo-compounds-eastown-eastown-parks/
"Villa for sale in the Sixth Settlement at a special price, 240 m","36,500,000
    EGP","-152,083EGP/m",Greater Cairo  /  Crescent Walk Compound - Marakez,240m²,4,5,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685c1335c5350605962029.png,https://aqarmap.com.eg/en/listing/6043513-for-sale-cairo-new-cairo-compounds-crescent-walk-compound-marakez/
Villas For sale in Sheya - Sarai Compound,"10,000,000
    EGP","-47,169EGP/m",Greater Cairo  /  Sheya - Sarai Compound	,212m²,4,3,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685025abb736d400300351.jpg,https://aqarmap.com.eg/en/listing/6015746-for-sale-cairo-new-cairo-compounds-sarai-sheya-sarai-compound/
"Pharmacy 109 sqm for Sale with Only 2 Million EGP Down Payment – Mas Tower, New Administrative Capital","13,000,000
    EGP","-119,266EGP/m",Greater Cairo  /  Mas Tower - V Development,109m²,N/A,N/A,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/68231e45619ff372707229.png,https://aqarmap.com.eg/en/listing/5907848-for-sale-cairo-new-administrative-capital-ldwn-twn-mas-tower-v-development/
Studio For sale in Origami Gardens - Taj City Compound,"3,800,000
    EGP","-63,333EGP/m",Greater Cairo  /  Origami Gardens - Taj City Compound,60m²,1,1,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6857c73f7ef22348437505.png,https://aqarmap.com.eg/en/listing/6033016-for-sale-cairo-new-cairo-compounds-tag-city-origami-gardens-taj-city-compound/
Apartment For sale in Sixth Neighborhood - Hay El Loaloa,"6,000,000
    EGP","-18,018EGP/m",Greater Cairo  /  Sixth Neighborhood - Hay El Loaloa,333m²,5,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/682f15de0a97f588640713.jpeg,https://aqarmap.com.eg/en/listing/5947906-for-sale-cairo-el-shorouk-lhy-lsds/
Administrative For sale in Mohammed Farid St.,"85,000
    EGP",-425EGP/m,Greater Cairo  /  Mohammed Farid St.,200m²,4,2,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6853fe8cc229b169610199.png,https://aqarmap.com.eg/en/listing/6023558-for-sale-cairo-heliopolis-heliopolis-square-mohammed-farid-st/
Apartments For sale in Madinaty Entrance 1,"5,500,000
    EGP","-56,701EGP/m",Greater Cairo  /  Madinaty Entrance 1,97m²,2,1,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685156108b55f826118454.jpeg,https://aqarmap.com.eg/en/listing/6017760-for-sale-cairo-new-cairo-madinaty-cairo-mdynty-other-neighborhoods-in-madenty-madinaty-entrance-1/
شقه للبيع 108 متر في كمبوند بارك هيلز حدائق اكتوبر,"2,100,000
    EGP","-19,444EGP/m",Greater Cairo  /  Compounds in Hadayek October ,108m²,3,2,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/6831da8d7fdfe830058766.jpeg,https://aqarmap.com.eg/en/listing/5954352-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr/
Your apartment with 0% down payment and 15-year installments in the heart of New Zayed - in Ritz Compound,"3,900,000
    EGP","-39,000EGP/m",Greater Cairo  /  Ritz Compound - Arqa,100m²,3,2,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d0ded4a3b6964915833.jpeg,https://aqarmap.com.eg/en/listing/6045408-for-sale-cairo-el-sheikh-zayed-city-compounds-ritz-compound-arqa/
Apartments For sale in King Faisal St,"2,500,000
    EGP","-15,151EGP/m",Greater Cairo  /  King Faisal St,165m²,3,2,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685b3b8f4ce19710969754.jpg,https://aqarmap.com.eg/en/listing/6029397-for-sale-cairo-faisal-shareaa-el-malek-fasel/
Special Price 3 BR – 181 m – By Lake View Res 2,"14,874,650
    EGP","-82,180EGP/m",Greater Cairo  /  Lake View Residence - El Hazek,181m²,3,3,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685bfb3d08c26771160094.jpeg,https://aqarmap.com.eg/en/listing/6042872-for-sale-cairo-new-cairo-compounds-lakeview-residence/
Shops For sale in Regency Mall,"2,772,000
    EGP","-84,000EGP/m",Greater Cairo  /  Regency Mall,33m²,N/A,N/A,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685bccafa99c3699885672.jpg,https://aqarmap.com.eg/en/listing/6041987-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-regency-mall/
"Under market price,  prime condition with private garden and shared pool","10,500,000
    EGP","-62,130EGP/m",Greater Cairo  /  El Patio Oro Compound - La Vista,169m²,3,2,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685b39f36d4b0566589383.jpg,https://aqarmap.com.eg/en/listing/6041318-for-sale-cairo-new-cairo-compounds-el-patio-oro/
Apartments For sale in North House,"3,976,000
    EGP","-28,000EGP/m",Greater Cairo  /  New Narges,142m²,3,3,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6860231790845271713812.jpg,https://aqarmap.com.eg/en/listing/6053197-for-sale-cairo-new-cairo-new-narges/
Apartment 225 meter for sale ready to move in bait el watan 6 october,"4,500,000
    EGP","-20,000EGP/m",Greater Cairo  /  Bait El Watan Ninth Neighborhood,225m²,4,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685a9a37b82cc539575769.jpg,https://aqarmap.com.eg/en/listing/6039349-for-sale-cairo-6th-of-october-bait-el-watan-byt-lwtn-lhy-lts/
شقق للبيع في شارع عبد المنعم رياض,"10,000,000
    EGP","-34,482EGP/m",Greater Cairo  /  Abd El Moneam Ryad St.,290m²,3,2,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685ab27e93e51457607208.jpeg,https://aqarmap.com.eg/en/listing/6039810-for-sale-cairo-6th-of-october-featured-neighborhood-sixth-touristic-village-abd-el-moneam-ryad-st/
Building For sale in Street 9,"68,000,000
    EGP","-34,000EGP/m",Greater Cairo  /  Street 9,2000m²,N/A,N/A,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2412/675840cb53c29751529075.png,https://aqarmap.com.eg/en/listing/6005436-for-sale-cairo-el-maadi-shr-9/
شقة 3 نوم امام مدينتي و علي طريق السويس مباشرة -كمبوند بالشروق,"4,707,000
    EGP","-34,108EGP/m",Greater Cairo  /  Palm Island Compound - TG,138m²,3,2,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67e3cee7af5c2946781944.jpg,https://aqarmap.com.eg/en/listing/6026403-for-sale-cairo-el-shorouk-compounds-palm-island-compound-tg/
Town House For sale in Waslet Dahshur Rd,"22,935,000
    EGP","-95,962EGP/m",Greater Cairo  /  Waslet Dahshur Rd,239m²,4,4,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/68516eb9db76b610755368.jpeg,https://aqarmap.com.eg/en/listing/6017954-for-sale-cairo-6th-of-october-tryq-wsl-dhshwr/
مكاتب للبيع في فور تي فور تاور - فاي,"3,310,000
    EGP","-94,571EGP/m",Greater Cairo  /  4t4 Tower - Vai,35m²,1,1,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685ff8b4af26f776088920.jpeg,https://aqarmap.com.eg/en/listing/6052602-for-sale-cairo-new-administrative-capital-ldwn-twn-fwr-ty-fwr-fy-llttwyr-l-qry/
Apartments For sale in Jirian Compound - Mountain View,"7,000,000
    EGP","-77,777EGP/m",Greater Cairo  /  Jirian Compound - Mountain View,90m²,1,1,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/6831ee175fb54978004657.jpeg,https://aqarmap.com.eg/en/listing/5954907-for-sale-cairo-el-sheikh-zayed-city-compounds-jirian-compound-mountain-view/
Apartments For sale in Aliva Compound - Mountain View,"9,000,000
    EGP","-58,064EGP/m",Greater Cairo  /  Aliva Compound - Mountain View ,155m²,3,2,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/68502e0ce1ae5038566765.jpeg,https://aqarmap.com.eg/en/listing/6015866-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-aliva-compound-mountain-view/
"-Apartment for sale in Almasa project 72, eighth district, Al-Obour city","2,800,000
    EGP","-17,500EGP/m",Greater Cairo  /  Eighth Neighborhood,160m²,3,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/68601358898ed247140608.jpg,https://aqarmap.com.eg/en/listing/6052972-for-sale-cairo-al-oubour-el-hay-el-tamen/
أراضي للبيع في بيت الوطن الأساسي,"4,000,000
    EGP","-4,651EGP/m",Greater Cairo  /  Bait El Watan El Asasy ,860m²,N/A,N/A,N/A,https://aqarmap.com.eg/en/listing/6042798-for-sale-cairo-6th-of-october-bait-el-watan-bait-el-watan-el-asasy/
Apartments For sale in  AlMaqsad Park - AlMaqsad Residence,"5,500,000
    EGP","-45,454EGP/m",Greater Cairo  /   AlMaqsad Park - AlMaqsad Residence,121m²,3,2,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/68502ff22e0b6306572082.jpg,https://aqarmap.com.eg/en/listing/6015897-for-sale-cairo-new-administrative-capital-r3-lmqsd-almaqsad-park/
فلل للبيع في المجاوره الرابعه,"24,000,000
    EGP","-44,444EGP/m",Greater Cairo  /  Neighborhood 4th,540m²,7,7,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685ab04cbb555521119933.jpeg,https://aqarmap.com.eg/en/listing/6039770-for-sale-cairo-6th-of-october-garb-someed-neighborhood-4th/
Town House For sale in Jirian Compound - Mountain View,"18,000,000
    EGP","-90,000EGP/m",Greater Cairo  /  Jirian Compound - Mountain View,200m²,4,4,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/6831eeb855077304790666.jpeg,https://aqarmap.com.eg/en/listing/5954917-for-sale-cairo-el-sheikh-zayed-city-compounds-jirian-compound-mountain-view/
Luxury Apartment for Sale in ZED Compound – Sheikh Zayed,"12,000,000
    EGP","-75,000EGP/m",Greater Cairo  /  Park Towers - ZED El Sheikh Zayed Compound,160m²,3,3,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/68595685ab390935119508.jpeg,https://aqarmap.com.eg/en/listing/6036796-for-sale-cairo-el-sheikh-zayed-city-compounds-zyd-wr-llttwyr-park-towers-zed-el-sheikh-zayed-compound/
Apartments For sale in Makany Compound - El Mansour,"5,432,700
    EGP","-39,084EGP/m",Greater Cairo  /  Makany Compound - El Mansour,139m²,3,2,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685c18883af1c395201786.jpg,https://aqarmap.com.eg/en/listing/6043629-for-sale-cairo-new-cairo-el-kattameya-compounds-in-kattameya-kmbwnd-mkny-lmnswr-llttwyr/
For sale - Studio 78 M² Without Finish,"10,790,000
    EGP","-138,333EGP/m",Greater Cairo  /  Hyde Park Compound,78m²,1,1,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/1912/5e08bda18e213358802534.jpg,https://aqarmap.com.eg/en/listing/5808034-for-sale-cairo-new-cairo-compounds-hyde-park/
"Your apartment with a garden in a fully serviced compound, immediate delivery (offer for a period of delivery, fully finished)","8,196,705
    EGP","-44,068EGP/m",Greater Cairo  /  Icon Park Compound - Al Fedaa,186m²,3,3,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685917a230f96287047579.jpeg,https://aqarmap.com.eg/en/listing/6035865-for-sale-cairo-6th-of-october-compounds-icon-park-compound-al-fedaa/
Apartments For sale in Makany Compound - El Mansour,"5,441,150
    EGP","-35,797EGP/m",Greater Cairo  /  Makany Compound - El Mansour,152m²,3,2,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685c175b25300402612115.jfif,https://aqarmap.com.eg/en/listing/6043613-for-sale-cairo-new-cairo-el-kattameya-compounds-in-kattameya-kmbwnd-mkny-lmnswr-llttwyr/
